client_id,age,credit_score,credit_amount,interest_rate,annual_interest_payment,age_group,credit_category
client00096,56,303,227304,13.62,30958.8,40-60 middle,middle
client00097,27,482,238635,13.62,32502.1,25-40 adult,middle
client00098,66,265,112267,20.35,22846.3,60-80 elderly,low
client00099,52,643,84555,9.81,8294.8,40-60 middle,high
client00100,18,713,90007,6.74,6066.5,18-25 young,high
client00101,38,600,79336,9.81,7782.9,25-40 adult,high
client00102,19,214,247234,20.35,50312.1,18-25 young,low
client00103,41,414,246224,13.62,33535.7,40-60 middle,middle
client00104,33,159,255468,20.35,51987.7,25-40 adult,low
client00105,33,680,84710,9.81,8310.1,25-40 adult,high
client00106,23,187,111342,20.35,22658.1,18-25 young,low
client00107,64,597,189987,9.81,18637.7,60-80 elderly,high
client00108,70,170,112696,20.35,22933.6,60-80 elderly,low
client00109,66,645,80140,9.81,7861.7,60-80 elderly,high
client00110,67,228,261975,20.35,53311.9,60-80 elderly,low
client00111,26,775,922471,6.74,62174.5,25-40 adult,high
client00112,48,662,85368,9.81,8374.6,40-60 middle,high
client00113,28,371,286971,13.62,39085.5,25-40 adult,middle
client00114,51,721,97364,6.74,6562.3,40-60 middle,high
client00115,45,316,100860,13.62,13737.1,40-60 middle,middle
client00116,52,847,485709,2.35,11414.2,40-60 middle,high
client00117,62,305,227814,13.62,31028.3,60-80 elderly,middle
client00118,63,419,298284,13.62,40626.3,60-80 elderly,middle
client00119,43,787,698128,6.74,47053.8,40-60 middle,high
client00120,59,482,165499,13.62,22541.0,40-60 middle,middle
client00121,46,629,85128,9.81,8351.1,40-60 middle,high
client00122,46,223,251703,20.35,51221.6,40-60 middle,low
client00123,33,330,123864,13.62,16870.3,25-40 adult,middle
client00124,22,446,253980,13.62,34592.1,18-25 young,middle
client00125,19,702,82513,6.74,5561.4,18-25 young,high
client00126,53,335,181833,13.62,24765.7,40-60 middle,middle
client00127,55,325,188270,13.62,25642.4,40-60 middle,middle
client00128,18,172,159749,20.35,32508.9,18-25 young,low
client00129,63,746,75310,6.74,5075.9,60-80 elderly,high
client00130,21,334,264143,13.62,35976.3,18-25 young,middle
client00131,22,132,102349,20.35,20828.0,18-25 young,low
client00132,39,172,260045,20.35,52919.2,25-40 adult,low
client00133,50,343,208508,13.62,28398.8,40-60 middle,middle
client00134,35,785,245121,6.74,16521.2,25-40 adult,high
client00135,49,319,278852,13.62,37979.6,40-60 middle,middle
client00136,52,235,115536,20.35,23511.6,40-60 middle,low
client00137,64,684,71709,9.81,7034.7,60-80 elderly,high
client00138,54,584,218081,9.81,21393.7,40-60 middle,high
client00139,33,584,175983,9.81,17263.9,25-40 adult,high
client00140,69,516,279144,9.81,27384.0,60-80 elderly,high
client00141,30,196,147311,20.35,29977.8,25-40 adult,low
client00142,24,774,681478,6.74,45931.6,18-25 young,high
client00143,45,462,294919,13.62,40168.0,40-60 middle,middle
client00144,45,520,76893,9.81,7543.2,40-60 middle,high
client00145,47,846,845957,2.35,19880.0,40-60 middle,high
client00146,21,789,986982,6.74,66522.6,18-25 young,high
client00147,59,761,640970,6.74,43201.4,40-60 middle,high
client00148,24,162,273128,20.35,55581.5,18-25 young,low
client00149,43,845,230734,2.35,5422.2,40-60 middle,high
client00150,39,211,124727,20.35,25381.9,25-40 adult,low
client00151,33,296,71987,20.35,14649.4,25-40 adult,low
client00152,30,649,95005,9.81,9320.0,25-40 adult,high
client00153,46,243,92024,20.35,18726.9,40-60 middle,low
client00154,45,287,121510,20.35,24727.3,40-60 middle,low
client00155,35,573,167786,9.81,16459.8,25-40 adult,high
client00156,33,177,287320,20.35,58469.6,25-40 adult,low
client00157,46,663,86821,9.81,8517.1,40-60 middle,high
client00158,24,151,88626,20.35,18035.4,18-25 young,low
client00159,59,653,97231,9.81,9538.4,40-60 middle,high
client00160,18,195,164680,20.35,33512.4,18-25 young,low
client00161,66,342,74042,13.62,10084.5,60-80 elderly,middle
client00162,28,516,298096,9.81,29243.2,25-40 adult,high
client00163,49,592,288683,9.81,28319.8,40-60 middle,high
client00164,31,510,108205,9.81,10614.9,25-40 adult,high
client00165,21,268,264093,20.35,53742.9,18-25 young,low
client00166,42,102,168260,20.35,34240.9,40-60 middle,low
client00167,42,371,281900,13.62,38394.8,40-60 middle,middle
client00168,68,565,141641,9.81,13895.0,60-80 elderly,high
client00169,36,533,293917,9.81,28833.3,25-40 adult,high
client00170,62,848,127965,2.35,3007.2,60-80 elderly,high
client00171,68,669,83595,9.81,8200.7,60-80 elderly,high
client00172,60,835,155843,2.35,3662.3,40-60 middle,high
client00173,49,258,153928,20.35,31324.3,40-60 middle,low
client00174,30,403,181598,13.62,24733.6,25-40 adult,middle
client00175,31,159,148031,20.35,30124.3,25-40 adult,low
client00176,55,655,77725,9.81,7624.8,40-60 middle,high
client00177,21,421,151231,13.62,20597.7,18-25 young,middle
client00178,21,151,71392,20.35,14528.3,18-25 young,low
client00179,55,588,148281,9.81,14546.4,40-60 middle,high
client00180,50,643,77357,9.81,7588.7,40-60 middle,high
client00181,28,158,57389,20.35,11678.7,25-40 adult,low
client00182,50,182,133541,20.35,27175.6,40-60 middle,low
client00183,29,170,294010,20.35,59831.0,25-40 adult,low
client00184,56,169,75974,20.35,15460.7,40-60 middle,low
client00185,61,340,269985,13.62,36772.0,60-80 elderly,middle
client00186,43,222,237355,20.35,48301.7,40-60 middle,low
client00187,54,352,220383,13.62,30016.2,40-60 middle,middle
client00188,55,708,80986,6.74,5458.5,40-60 middle,high
client00189,20,734,95931,6.74,6465.7,18-25 young,high
client00190,23,529,88285,9.81,8660.8,18-25 young,high
client00191,60,697,74508,9.81,7309.2,40-60 middle,high
client00192,54,635,71255,9.81,6990.1,40-60 middle,high
client00193,38,367,125203,13.62,17052.6,25-40 adult,middle
client00194,31,785,970068,6.74,65382.6,25-40 adult,high
client00195,63,421,173851,13.62,23678.5,60-80 elderly,middle
client00196,33,371,232471,13.62,31662.6,25-40 adult,middle
client00197,43,234,267870,20.35,54511.5,40-60 middle,low
client00198,60,760,245534,6.74,16549.0,40-60 middle,high
client00199,37,568,248925,9.81,24419.5,25-40 adult,high
client00200,38,174,234952,20.35,47812.7,25-40 adult,low
client00201,18,569,172974,9.81,16968.7,18-25 young,high
client00202,57,676,84699,9.81,8309.0,40-60 middle,high
client00203,24,175,211309,20.35,43001.4,18-25 young,low
client00204,52,318,51376,13.62,6997.4,40-60 middle,middle
client00205,50,371,287465,13.62,39152.7,40-60 middle,middle
client00206,26,457,70768,13.62,9638.6,25-40 adult,middle
client00207,22,350,54981,13.62,7488.4,18-25 young,middle
client00208,41,391,117088,13.62,15947.4,40-60 middle,middle
client00209,28,548,106532,9.81,10450.8,25-40 adult,high
client00210,52,820,975522,2.35,22924.8,40-60 middle,high
client00211,37,726,74899,6.74,5048.2,25-40 adult,high
client00212,69,769,675462,6.74,45526.1,60-80 elderly,high
client00213,51,108,296474,20.35,60332.5,40-60 middle,low
client00214,60,667,93830,9.81,9204.7,40-60 middle,high
client00215,37,779,738457,6.74,49772.0,25-40 adult,high
client00216,24,237,188352,20.35,38329.6,18-25 young,low
client00217,34,218,160953,20.35,32753.9,25-40 adult,low
client00218,24,666,73643,9.81,7224.4,18-25 young,high
client00219,27,378,253468,13.62,34522.3,25-40 adult,middle
client00220,36,719,79440,6.74,5354.3,25-40 adult,high
client00221,31,834,349183,2.35,8205.8,25-40 adult,high
client00222,39,308,128944,13.62,17562.2,25-40 adult,middle
client00223,61,749,73992,6.74,4987.1,60-80 elderly,high
client00224,34,617,71564,9.81,7020.4,25-40 adult,high
client00225,49,357,112505,13.62,15323.2,40-60 middle,middle
client00226,21,194,160054,20.35,32571.0,18-25 young,low
client00227,58,533,217497,9.81,21336.5,40-60 middle,high
client00228,35,145,258115,20.35,52526.4,25-40 adult,low
client00229,18,441,213266,13.62,29046.8,18-25 young,middle
client00230,67,233,169829,20.35,34560.2,60-80 elderly,low
client00231,58,368,66464,13.62,9052.4,40-60 middle,middle
client00232,28,552,79060,9.81,7755.8,25-40 adult,high
client00233,53,822,977330,2.35,22967.3,40-60 middle,high
client00234,45,674,99659,9.81,9776.5,40-60 middle,high
client00235,18,214,181027,20.35,36839.0,18-25 young,low
client00236,22,807,725726,2.35,17054.6,18-25 young,high
client00237,27,658,87565,9.81,8590.1,25-40 adult,high
client00238,20,478,54308,13.62,7396.7,18-25 young,middle
client00239,55,665,90707,9.81,8898.4,40-60 middle,high
client00240,27,540,185102,9.81,18158.5,25-40 adult,high
client00241,26,142,200745,20.35,40851.6,25-40 adult,low
client00242,37,473,113422,13.62,15448.1,25-40 adult,middle
client00243,68,140,238362,20.35,48506.7,60-80 elderly,low
client00244,40,315,87637,13.62,11936.2,25-40 adult,middle
client00245,61,355,126355,13.62,17209.6,60-80 elderly,middle
client00246,60,205,162522,20.35,33073.2,40-60 middle,low
client00247,40,673,70051,9.81,6872.0,25-40 adult,high
client00248,44,735,90146,6.74,6075.8,40-60 middle,high
client00249,65,258,142488,20.35,28996.3,60-80 elderly,low
client00250,33,266,113062,20.35,23008.1,25-40 adult,low
client00251,69,281,199596,20.35,40617.8,60-80 elderly,low
client00252,44,125,159200,20.35,32397.2,40-60 middle,low
client00253,29,440,99103,13.62,13497.8,25-40 adult,middle
client00254,68,521,224160,9.81,21990.1,60-80 elderly,high
client00255,69,785,800674,6.74,53965.4,60-80 elderly,high
client00256,65,354,72443,13.62,9866.7,60-80 elderly,middle
client00257,35,263,187228,20.35,38100.9,25-40 adult,low
client00258,68,818,478120,2.35,11235.8,60-80 elderly,high
client00259,24,491,67741,13.62,9226.3,18-25 young,middle
client00260,20,581,299929,9.81,29423.0,18-25 young,high
client00261,32,304,187903,13.62,25592.4,25-40 adult,middle
client00262,70,571,192627,9.81,18896.7,60-80 elderly,high
client00263,40,412,182992,13.62,24923.5,25-40 adult,middle
client00264,70,333,256153,13.62,34888.0,60-80 elderly,middle
client00265,32,124,183070,20.35,37254.7,25-40 adult,low
client00266,60,297,195267,20.35,39736.8,40-60 middle,low
client00267,43,436,55330,13.62,7535.9,40-60 middle,middle
client00268,35,171,152355,20.35,31004.2,25-40 adult,low
client00269,67,385,278938,13.62,37991.4,60-80 elderly,middle
client00270,40,756,592972,6.74,39966.3,25-40 adult,high
client00271,50,509,61412,9.81,6024.5,40-60 middle,high
client00272,61,649,90829,9.81,8910.3,60-80 elderly,high
client00273,39,128,151418,20.35,30813.6,25-40 adult,low
client00274,25,367,147858,13.62,20138.3,18-25 young,middle
client00275,29,694,78311,9.81,7682.3,25-40 adult,high
client00276,34,139,245904,20.35,50041.5,25-40 adult,low
client00277,24,710,70532,6.74,4753.9,18-25 young,high
client00278,45,453,143610,13.62,19559.7,40-60 middle,middle
client00279,64,421,256705,13.62,34963.2,60-80 elderly,middle
client00280,45,720,72213,6.74,4867.2,40-60 middle,high
client00281,50,218,140387,20.35,28568.8,40-60 middle,low
client00282,42,690,77901,9.81,7642.1,40-60 middle,high
client00283,30,360,242136,13.62,32978.9,25-40 adult,middle
client00284,20,825,789023,2.35,18542.0,18-25 young,high
client00285,45,101,214693,20.35,43690.0,40-60 middle,low
client00286,51,651,73396,9.81,7200.1,40-60 middle,high
client00287,61,836,908977,2.35,21361.0,60-80 elderly,high
client00288,65,786,710169,6.74,47865.4,60-80 elderly,high
client00289,30,472,242724,13.62,33059.0,25-40 adult,middle
client00290,45,171,248358,20.35,50540.9,40-60 middle,low
client00291,60,438,137167,13.62,18682.1,40-60 middle,middle
client00292,57,421,84972,13.62,11573.2,40-60 middle,middle
client00293,60,227,61622,20.35,12540.1,40-60 middle,low
client00294,64,407,142353,13.62,19388.5,60-80 elderly,middle
client00295,50,416,193134,13.62,26304.9,40-60 middle,middle
client00296,60,518,138748,9.81,13611.2,40-60 middle,high
client00297,38,512,263256,9.81,25825.4,25-40 adult,high
client00298,62,402,218505,13.62,29760.4,60-80 elderly,middle
client00299,53,230,95898,20.35,19515.2,40-60 middle,low
client00300,30,530,267680,9.81,26259.4,25-40 adult,high
client00301,60,488,254247,13.62,34628.4,40-60 middle,middle
client00302,61,278,229485,20.35,46700.2,60-80 elderly,low
client00303,57,682,85224,9.81,8360.5,40-60 middle,high
client00304,37,515,232292,9.81,22787.8,25-40 adult,high
client00305,53,100,175444,20.35,35702.9,40-60 middle,low
client00306,37,393,215605,13.62,29365.4,25-40 adult,middle
client00307,31,540,97783,9.81,9592.5,25-40 adult,high
client00308,68,693,96591,9.81,9475.6,60-80 elderly,high
client00309,56,770,241403,6.74,16270.6,40-60 middle,high
client00310,38,576,66541,9.81,6527.7,25-40 adult,high
client00311,46,552,237706,9.81,23319.0,40-60 middle,high
client00312,61,318,253473,13.62,34523.0,60-80 elderly,middle
client00313,50,584,297360,9.81,29171.0,40-60 middle,high
client00314,68,273,169977,20.35,34590.3,60-80 elderly,low
client00315,60,186,59695,20.35,12147.9,40-60 middle,low
client00316,36,627,79615,9.81,7810.2,25-40 adult,high
client00317,60,748,76605,6.74,5163.2,40-60 middle,high
client00318,57,443,61483,13.62,8374.0,40-60 middle,middle
client00319,23,340,257384,13.62,35055.7,18-25 young,middle
client00320,61,417,102289,13.62,13931.8,60-80 elderly,middle
client00321,32,303,282204,13.62,38436.2,25-40 adult,middle
client00322,27,125,60985,20.35,12410.4,25-40 adult,low
client00323,20,350,132731,13.62,18078.0,18-25 young,middle
client00324,48,725,80160,6.74,5402.8,40-60 middle,high
client00325,67,174,185104,20.35,37668.7,60-80 elderly,low
client00326,47,524,154392,9.81,15145.9,40-60 middle,high
client00327,58,689,96719,9.81,9488.1,40-60 middle,high
client00328,30,835,669408,2.35,15731.1,25-40 adult,high
client00329,62,493,174098,13.62,23712.1,60-80 elderly,middle
client00330,49,509,116404,9.81,11419.2,40-60 middle,high
client00331,33,251,59599,20.35,12128.4,25-40 adult,low
client00332,59,804,889882,2.35,20912.2,40-60 middle,high
client00333,18,209,219581,20.35,44684.7,18-25 young,low
client00334,67,535,100096,9.81,9819.4,60-80 elderly,high
client00335,32,280,125002,20.35,25437.9,25-40 adult,low
client00336,69,812,474314,2.35,11146.4,60-80 elderly,high
client00337,51,575,276004,9.81,27076.0,40-60 middle,high
client00338,21,670,95586,9.81,9377.0,18-25 young,high
client00339,33,224,62531,20.35,12725.1,25-40 adult,low
client00340,47,236,276963,20.35,56362.0,40-60 middle,low
client00341,69,575,221896,9.81,21768.0,60-80 elderly,high
client00342,60,643,80876,9.81,7933.9,40-60 middle,high
client00343,53,709,78952,6.74,5321.4,40-60 middle,high
client00344,38,553,82630,9.81,8106.0,25-40 adult,high
client00345,57,836,938171,2.35,22047.0,40-60 middle,high
client00346,50,536,146474,9.81,14369.1,40-60 middle,high
client00347,53,556,164544,9.81,16141.8,40-60 middle,high
client00348,28,586,283173,9.81,27779.3,25-40 adult,high
client00349,46,365,154863,13.62,21092.3,40-60 middle,middle
client00350,66,353,244853,13.62,33349.0,60-80 elderly,middle
client00351,58,383,165274,13.62,22510.3,40-60 middle,middle
client00352,67,633,99315,9.81,9742.8,60-80 elderly,high
client00353,49,741,82669,6.74,5571.9,40-60 middle,high
client00354,33,381,138876,13.62,18914.9,25-40 adult,middle
client00355,46,179,98973,20.35,20141.0,40-60 middle,low
client00356,63,392,180076,13.62,24526.4,60-80 elderly,middle
client00357,33,378,231421,13.62,31519.5,25-40 adult,middle
client00358,39,427,180422,13.62,24573.5,25-40 adult,middle
client00359,52,182,146297,20.35,29771.4,40-60 middle,low
client00360,26,254,292302,20.35,59483.5,25-40 adult,low
client00361,32,492,259005,13.62,35276.5,25-40 adult,middle
client00362,62,256,186125,20.35,37876.4,60-80 elderly,low
client00363,63,319,119919,13.62,16333.0,60-80 elderly,middle
client00364,22,524,260016,9.81,25507.6,18-25 young,high
client00365,44,438,71656,13.62,9759.5,40-60 middle,middle
client00366,52,577,240600,9.81,23602.9,40-60 middle,high
client00367,44,163,161280,20.35,32820.5,40-60 middle,low
client00368,31,530,70690,9.81,6934.7,25-40 adult,high
client00369,42,698,84110,9.81,8251.2,40-60 middle,high
client00370,62,120,207929,20.35,42313.6,60-80 elderly,low
client00371,66,689,96946,9.81,9510.4,60-80 elderly,high
client00372,42,588,97305,9.81,9545.6,40-60 middle,high
client00373,18,460,192992,13.62,26285.5,18-25 young,middle
client00374,37,499,127009,13.62,17298.6,25-40 adult,middle
client00375,44,651,80525,9.81,7899.5,40-60 middle,high
client00376,65,659,73361,9.81,7196.7,60-80 elderly,high
client00377,69,717,72623,6.74,4894.8,60-80 elderly,high
client00378,32,599,135962,9.81,13337.9,25-40 adult,high
client00379,32,379,223256,13.62,30407.5,25-40 adult,middle
client00380,45,597,127500,9.81,12507.8,40-60 middle,high
client00381,19,498,130346,13.62,17753.1,18-25 young,middle
client00382,39,784,567576,6.74,38254.6,25-40 adult,high
client00383,61,514,207973,9.81,20402.2,60-80 elderly,high
client00384,64,269,238131,20.35,48459.7,60-80 elderly,low
client00385,47,230,161703,20.35,32906.6,40-60 middle,low
client00386,57,646,75460,9.81,7402.6,40-60 middle,high
client00387,19,503,230817,9.81,22643.1,18-25 young,high
client00388,55,677,84545,9.81,8293.9,40-60 middle,high
client00389,60,127,142155,20.35,28928.5,40-60 middle,low
client00390,23,758,568849,6.74,38340.4,18-25 young,high
client00391,45,238,61103,20.35,12434.5,40-60 middle,low
client00392,47,286,240530,20.35,48947.9,40-60 middle,low
client00393,21,366,278075,13.62,37873.8,18-25 young,middle
client00394,42,435,288972,13.62,39358.0,40-60 middle,middle
client00395,31,565,142421,9.81,13971.5,25-40 adult,high
client00396,38,445,211179,13.62,28762.6,25-40 adult,middle
client00397,66,488,164017,13.62,22339.1,60-80 elderly,middle
client00398,35,531,121973,9.81,11965.6,25-40 adult,high
client00399,34,183,217633,20.35,44288.3,25-40 adult,low
client00400,48,119,257481,20.35,52397.4,40-60 middle,low
client00401,65,652,71879,9.81,7051.3,60-80 elderly,high
client00402,21,458,69671,13.62,9489.2,18-25 young,middle
client00403,32,765,803787,6.74,54175.2,25-40 adult,high
client00404,22,767,768480,6.74,51795.6,18-25 young,high
client00405,20,131,156485,20.35,31844.7,18-25 young,low
client00406,33,304,145239,13.62,19781.6,25-40 adult,middle
client00407,19,736,86812,6.74,5851.1,18-25 young,high
client00408,27,344,260002,13.62,35412.3,25-40 adult,middle
client00409,26,584,246581,9.81,24189.6,25-40 adult,high
client00410,60,217,228103,20.35,46419.0,40-60 middle,low
client00411,54,323,91939,13.62,12522.1,40-60 middle,middle
client00412,47,816,132653,2.35,3117.3,40-60 middle,high
client00413,34,477,87428,13.62,11907.7,25-40 adult,middle
client00414,28,720,97809,6.74,6592.3,25-40 adult,high
client00415,56,835,737086,2.35,17321.5,40-60 middle,high
client00416,25,267,227756,20.35,46348.3,18-25 young,low
client00417,37,210,254816,20.35,51855.1,25-40 adult,low
client00418,55,126,164864,20.35,33549.8,40-60 middle,low
client00419,37,689,71140,9.81,6978.8,25-40 adult,high
client00420,61,484,83090,13.62,11316.9,60-80 elderly,middle
client00421,43,832,170499,2.35,4006.7,40-60 middle,high
client00422,30,177,111864,20.35,22764.3,25-40 adult,low
client00423,55,807,916332,2.35,21533.8,40-60 middle,high
client00424,58,348,219125,13.62,29844.8,40-60 middle,middle
client00425,24,813,484123,2.35,11376.9,18-25 young,high
client00426,67,408,144935,13.62,19740.1,60-80 elderly,middle
client00427,61,714,82545,6.74,5563.5,60-80 elderly,high
client00428,69,223,298897,20.35,60825.5,60-80 elderly,low
client00429,68,679,88587,9.81,8690.4,60-80 elderly,high
client00430,68,142,58489,20.35,11902.5,60-80 elderly,low
client00431,40,645,89827,9.81,8812.0,25-40 adult,high
client00432,45,777,260891,6.74,17584.1,40-60 middle,high
client00433,41,170,228012,20.35,46400.4,40-60 middle,low
client00434,50,763,571778,6.74,38537.8,40-60 middle,high
client00435,39,112,298728,20.35,60791.1,25-40 adult,low
client00436,44,601,82155,9.81,8059.4,40-60 middle,high
client00437,24,543,147521,9.81,14471.8,18-25 young,high
client00438,41,750,565504,6.74,38115.0,40-60 middle,high
client00439,47,824,900152,2.35,21153.6,40-60 middle,high
client00440,27,545,70155,9.81,6882.2,25-40 adult,high
client00441,29,634,88806,9.81,8711.9,25-40 adult,high
client00442,59,376,86095,13.62,11726.1,40-60 middle,middle
client00443,57,651,87349,9.81,8568.9,40-60 middle,high
client00444,67,595,146193,9.81,14341.5,60-80 elderly,high
client00445,47,546,154342,9.81,15141.0,40-60 middle,high
client00446,70,848,429657,2.35,10096.9,60-80 elderly,high
client00447,55,374,220278,13.62,30001.9,40-60 middle,middle
client00448,38,351,123056,13.62,16760.2,25-40 adult,middle
client00449,23,385,115434,13.62,15722.1,18-25 young,middle
client00450,46,349,79739,13.62,10860.5,40-60 middle,middle
client00451,66,575,56793,9.81,5571.4,60-80 elderly,high
client00452,54,724,94106,6.74,6342.7,40-60 middle,high
client00453,60,488,98771,13.62,13452.6,40-60 middle,middle
client00454,39,129,180821,20.35,36797.1,25-40 adult,low
client00455,49,432,185723,13.62,25295.5,40-60 middle,middle
client00456,29,599,151446,9.81,14856.9,25-40 adult,high
client00457,31,463,289479,13.62,39427.0,25-40 adult,middle
client00458,69,364,197239,13.62,26864.0,60-80 elderly,middle
client00459,39,386,80870,13.62,11014.5,25-40 adult,middle
client00460,56,818,374492,2.35,8800.6,40-60 middle,high
client00461,35,669,95394,9.81,9358.2,25-40 adult,high
client00462,18,629,78529,9.81,7703.7,18-25 young,high
client00463,30,187,234559,20.35,47732.8,25-40 adult,low
client00464,33,837,567951,2.35,13346.8,25-40 adult,high
client00465,44,600,77031,9.81,7556.7,40-60 middle,high
client00466,53,346,210399,13.62,28656.3,40-60 middle,middle
client00467,62,587,124862,9.81,12249.0,60-80 elderly,high
client00468,59,828,827691,2.35,19450.7,40-60 middle,high
client00469,49,558,290249,9.81,28473.4,40-60 middle,high
client00470,68,117,178765,20.35,36378.7,60-80 elderly,low
client00471,23,401,102475,13.62,13957.1,18-25 young,middle
client00472,32,514,82148,9.81,8058.7,25-40 adult,high
client00473,62,349,85580,13.62,11656.0,60-80 elderly,middle
client00474,37,779,994253,6.74,67012.7,25-40 adult,high
